                function_name                |                                                                            parameters                                                                             |                                                                                                                                                            return_type                                                                                                                                                             | security 
 get_reporting_eligible_investors            | p_period_id uuid                                                                                                                                                  | TABLE(investor_id uuid, investor_name text, email text, eligibility_reason text, is_eligible boolean)                                                                                                                                                                                                                              | DEFINER
 get_statement_period_summary                | p_period_id uuid                                                                                                                                                  | TABLE(total_investors integer, total_funds integer, statements_generated integer, statements_sent integer, statements_pending integer)                                                                                                                                                                                             | DEFINER
 get_statement_signed_url                    | p_storage_path text, p_expires_in integer                                                                                                                         | text                                                                                                                                                                                                                                                                                                                               | DEFINER
 get_user_admin_status                       | user_id uuid                                                                                                                                                      | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 get_user_reports                            | p_user_id uuid, p_limit integer                                                                                                                                   | TABLE(id uuid, report_type text, report_name text, report_month date, status text, created_at timestamp with time zone)                                                                                                                                                                                                            | DEFINER
 get_void_transaction_impact                 | p_transaction_id uuid                                                                                                                                             | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 get_void_yield_impact                       | p_distribution_id uuid                                                                                                                                            | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 get_yield_corrections                       | p_fund_id uuid, p_date_from date, p_date_to date                                                                                                                  | TABLE(correction_id uuid, fund_id uuid, fund_name text, fund_asset text, effective_date date, purpose text, old_aum numeric, new_aum numeric, delta_aum numeric, investors_affected integer, total_fee_delta numeric, total_ib_delta numeric, reason text, status text, applied_at timestamp with time zone, applied_by_name text) | DEFINER
 handle_ledger_transaction                   | p_investor_id uuid, p_fund_id uuid, p_amount numeric, p_type text                                                                                                 | void                                                                                                                                                                                                                                                                                                                               | DEFINER
 has_role                                    | _user_id uuid, _role app_role                                                                                                                                     | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 has_super_admin_role                        | p_user_id uuid                                                                                                                                                    | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 increment_version                           |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | INVOKER
 internal_route_to_fees                      | p_from_investor_id uuid, p_fund_id uuid, p_amount numeric, p_effective_date date, p_reason text, p_admin_id uuid, p_transfer_id uuid                              | TABLE(transfer_id uuid, debit_tx_id uuid, credit_tx_id uuid, success boolean, message text)                                                                                                                                                                                                                                        | DEFINER
 is_2fa_required                             | p_user_id uuid                                                                                                                                                    | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 is_admin                                    |                                                                                                                                                                   | boolean                                                                                                                                                                                                                                                                                                                            | INVOKER
 is_admin_for_jwt                            |                                                                                                                                                                   | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 is_admin_safe                               |                                                                                                                                                                   | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 is_ib                                       | user_id uuid                                                                                                                                                      | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 is_import_enabled                           |                                                                                                                                                                   | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 is_period_locked                            | p_fund_id uuid, p_period_id uuid                                                                                                                                  | boolean                                                                                                                                                                                                                                                                                                                            | INVOKER
 is_super_admin                              |                                                                                                                                                                   | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 is_super_admin                              | p_user_id uuid                                                                                                                                                    | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 is_valid_share_token                        | token_value text                                                                                                                                                  | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 is_within_edit_window                       | p_created_at timestamp with time zone                                                                                                                             | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 lock_fund_period_snapshot                   | p_fund_id uuid, p_period_id uuid, p_admin_id uuid                                                                                                                 | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 lock_imports                                | p_reason text                                                                                                                                                     | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 log_access_event                            | p_user_id uuid, p_event text, p_ip_address inet, p_user_agent text, p_success boolean, p_failure_reason text, p_metadata jsonb                                    | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 log_audit_event                             |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 log_audit_event                             | p_action text, p_entity text, p_entity_id text, p_old_values jsonb, p_new_values jsonb, p_meta jsonb                                                              | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 log_cancel_on_status_change                 |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 log_data_edit                               |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 log_delivery_status_change                  |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 log_ledger_mismatches                       |                                                                                                                                                                   | TABLE(mismatch_count integer, logged boolean)                                                                                                                                                                                                                                                                                      | DEFINER
 log_security_event                          | p_event_type text, p_severity text, p_user_id uuid, p_details jsonb                                                                                               | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 log_withdrawal_action                       | p_request_id uuid, p_action withdrawal_action, p_details jsonb                                                                                                    | void                                                                                                                                                                                                                                                                                                                               | DEFINER
 log_withdrawal_creation                     |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 mark_delivery_result                        | p_delivery_id uuid, p_success boolean, p_provider_message_id text, p_error_code text, p_error_message text                                                        | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 mark_mfa_reset_executed                     | p_request_id uuid                                                                                                                                                 | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 mark_sent_manually                          | p_delivery_id uuid, p_note text                                                                                                                                   | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 prevent_auto_aum_creation                   |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 preview_daily_yield_to_fund_v3              | p_fund_id uuid, p_yield_date date, p_new_aum numeric, p_purpose text                                                                                              | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 preview_investor_balances                   | p_fund_id uuid                                                                                                                                                    | TABLE(investor_id uuid, investor_name text, account_type text, fund_id uuid, fund_code text, current_value numeric, cost_basis numeric, unrealized_pnl numeric, allocation_pct numeric)                                                                                                                                            | DEFINER
 preview_yield_correction_v2                 | p_fund_id uuid, p_period_start date, p_period_end date, p_purpose text, p_new_aum numeric                                                                         | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 process_excel_import_with_classes           | p_data jsonb, p_import_type text                                                                                                                                  | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 process_yield_distribution                  | p_fund_id uuid, p_gross_amount numeric, p_date date                                                                                                               | TABLE(investor_id uuid, gross_amount numeric, fee_amount numeric, net_amount numeric)                                                                                                                                                                                                                                              | DEFINER
 protect_allocation_immutable_fields         |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 protect_audit_immutable_fields              |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 protect_audit_log_immutable_fields          |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 protect_transaction_immutable_fields        |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 queue_statement_deliveries                  | p_period_id uuid, p_channel text, p_investor_ids uuid[], p_fund_id uuid                                                                                           | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 rebuild_investor_period_balances            | p_fund_id uuid, p_period_start date, p_period_end date, p_purpose aum_purpose                                                                                     | TABLE(investor_id uuid, investor_name text, email text, beginning_balance numeric, ending_balance numeric, additions numeric, redemptions numeric, avg_capital numeric, days_in_period integer, days_invested integer, fee_pct numeric, ib_parent_id uuid, ib_percentage numeric)                                                  | DEFINER
 recalculate_all_aum                         |                                                                                                                                                                   | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 recalculate_fund_aum_for_date               | p_fund_id uuid, p_date date, p_purpose aum_purpose, p_actor_id uuid                                                                                               | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 recompute_investor_position                 | p_investor_id uuid, p_fund_id uuid                                                                                                                                | void                                                                                                                                                                                                                                                                                                                               | DEFINER
 recompute_investor_positions_for_investor   | p_investor_id uuid                                                                                                                                                | void                                                                                                                                                                                                                                                                                                                               | DEFINER
 reconcile_all_positions                     | p_dry_run boolean                                                                                                                                                 | TABLE(investor_id uuid, fund_id uuid, investor_name text, fund_name text, old_value numeric, new_value numeric, old_shares numeric, new_shares numeric, action text)                                                                                                                                                               | DEFINER
 reconcile_fund_period                       | p_fund_id uuid, p_start_date date, p_end_date date                                                                                                                | TABLE(metric text, expected numeric, actual numeric, difference numeric, status text)                                                                                                                                                                                                                                              | DEFINER
 reconcile_investor_position                 | p_investor_id uuid, p_fund_id uuid, p_admin_id uuid, p_action text                                                                                                | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 regenerate_reports_for_correction           | p_correction_id uuid                                                                                                                                              | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 reject_mfa_reset                            | p_request_id uuid, p_reason text, p_admin_id uuid                                                                                                                 | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 reject_withdrawal                           | p_request_id uuid, p_reason text, p_admin_notes text                                                                                                              | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 repair_all_positions                        |                                                                                                                                                                   | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 request_mfa_reset                           | p_reason text, p_ip inet, p_user_agent text                                                                                                                       | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 requeue_stale_sending                       | p_period_id uuid, p_minutes integer                                                                                                                               | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 require_super_admin                         | p_operation text                                                                                                                                                  | void                                                                                                                                                                                                                                                                                                                               | DEFINER
 reset_all_data_keep_profiles                | p_admin_id uuid, p_confirmation_code text                                                                                                                         | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 reset_all_investor_positions                | p_admin_id uuid, p_confirmation_code text                                                                                                                         | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 retry_delivery                              | p_delivery_id uuid                                                                                                                                                | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 rollback_yield_correction                   | p_correction_id uuid, p_reason text                                                                                                                               | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 route_withdrawal_to_fees                    | p_request_id uuid, p_reason text                                                                                                                                  | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 run_data_integrity_check                    |                                                                                                                                                                   | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 send_daily_rate_notifications               | p_rate_date date                                                                                                                                                  | integer                                                                                                                                                                                                                                                                                                                            | DEFINER
 set_fund_daily_aum                          | p_fund_id text, p_aum_date date, p_total_aum numeric, p_nav_per_share numeric                                                                                     | uuid                                                                                                                                                                                                                                                                                                                               | DEFINER
 set_updated_at                              |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | INVOKER
 start_processing_withdrawal                 | p_request_id uuid, p_processed_amount numeric, p_tx_hash text, p_settlement_date date, p_admin_notes text                                                         | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 sync_ib_account_type                        |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 sync_profile_is_admin                       |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 sync_yield_to_investor_yield_events         |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 system_health_check                         |                                                                                                                                                                   | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 test_profiles_access                        |                                                                                                                                                                   | TABLE(test_name text, result boolean, details text)                                                                                                                                                                                                                                                                                | DEFINER
 trigger_recompute_position                  |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 unlock_fund_period_snapshot                 | p_fund_id uuid, p_period_id uuid, p_admin_id uuid, p_reason text                                                                                                  | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 unlock_imports                              |                                                                                                                                                                   | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 update_admin_role                           | p_target_user_id uuid, p_new_role text                                                                                                                            | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 update_delivery_updated_at                  |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | INVOKER
 update_fund_aum_baseline                    | p_fund_id text, p_new_baseline numeric                                                                                                                            | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 update_fund_daily_aum                       | p_record_id uuid, p_new_total_aum numeric, p_reason text, p_admin_id uuid                                                                                         | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 update_fund_daily_aum_with_recalc           | p_record_id uuid, p_new_total_aum numeric, p_reason text, p_admin_id uuid                                                                                         | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 update_investor_aum_percentages             | p_fund_id uuid                                                                                                                                                    | integer                                                                                                                                                                                                                                                                                                                            | DEFINER
